countries,HIV prevalence,Knowledge on HIV,,laws and policies,Curriculum,Curriculum use,Coverage of primary schools8,Coverage of secondary schools8,Teacher Training Policy/ Programme/ Curriculum,Monitoring and Evaluation,Resistence in society/CSE opposition1
Afghanistan,<0.1 [<0.1 - <0.1],"1,75",,No,CU,MB,0-25%,0-25%,No,...,No
Albania,<0.1 [<0.1 - <0.1],"31,72",,PB,CU,MU,76-100%,76-100%,Yes,M&E in place,Yes
Algeria,<0.1 [<0.1 - <0.1],,,PS,No,…,…,…,Yes,…,…
Andorra,... [. ],,,…,…,…,76-100%,76-100%,…,…,…
Angola,0.8 [0.4 - 1.3],"32,25",,PB,CB,MB,76-100%,76-100%,Yes,Included in EMIS,No
Antigua and Barbuda,... [. ],"85,67",,PB,…,…,76-100%,76-100%,Yes,...,…
Argentina,<0.1 [<0.1 - 0.1],,,PB,CB,…,...,...,Yes,...,…
Armenia,<0.1 [<0.1 - <0.1],"17,66",,PS,…,…,...,76-100%,No,...,…
Austria,... [. ],…,,SL,CU,MU,...,...,...,No,Yes
Azerbaijan,<0.1 [<0.1 - <0.1],"14,9",,PS,…,…,...,76-100%,Yes,...,…
Bahamas,... [. ],"4,4",,PB,…,…,…,...,Yes,...,…
Bahrain,... [. ],…,,…,…,…,76-100%,76-100%,...,...,…
Bangladesh,... [. ],…,,SL,CU,MB,76-100%,76-100%,Yes,...,No
Barbados,<0.1 [<0.1 - 0.3],"46,3",,PB,…,…,...,...,...,...,…
Belarus,<0.1 [<0.1 - 0.1],"54,61",,PS,No,…,...,...,Yes,...,…
Belgium,... [. ],…,,SL,CU,MU,...,...,...,M&E in place,No
Benin,0.3 [0.2 - 0.6],"23,87",,PB,CS,…,0-25%,76-100%,Yes,...,…
Bhutan,... [. ],"23,2",,No,CU,MP,76-100%,76-100%,Yes,EMIS tracks,No
Bolivia,<0.1 [<0.1 - <0.1],"23,66",,PS,No,…,...,51-75%,Yes,...,…
Bosnia and Herzegovina,... [. ],"47,5",,SL,CU,OU,...,...,...,M&E in place,Yes
Botswana,7.1 [4.7 - 9.6],"47,2",,PB,CB,MB,76-100%,76-100%,Yes,EMIS tracks,No
Brazil,... [. ],…,,No,No,…,...,...,No,No,…
Brunei Darussalam,... [. ],…,,PS,…,…,...,76-100%,Yes,...,…
Bulgaria,<0.1 [<0.1 - <0.1],"18,8",,SL,CU,OU,...,...,...,No,Yes
Burkina Faso,0.3 [0.2 - 0.4],"32,38",,PB,CB,MB,76-100%,76-100%,Yes,EMIS tracks,No
Burundi,0.5 [0.4 - 0.6],"45,08",,PB,CB,…,76-100%,...,Yes,…,…
Cabo Verde,0.2 [<0.1 - 0.2],…,,…,CB,…,51-75%,...,...,…,…
Cambodia,0.1 [0.1 - 0.2],"39,5",,PB,CB,MB,76-100%,76-100%,Yes,No,No
Cameroon,1.0 [0.6 - 1.4],"39,1",,PB,CB,MB,76-100%,76-100%,Yes,Included in EMIS,…
Cayman Islands,... [. ],…,,…,…,…,...,76-100%,...,...,…
Central African Republic,1.2 [0.6 - 1.8],"19,43",,PB,CB,…,0-25%,0-25%,Yes,...,…
Chad,0.5 [0.3 - 0.7],"13,07",,…,No,…,...,...,...,No,…
Chile,0.1 [<0.1 - 0.2],…,,PS,CS,MB,76-100%,76-100%,Yes,No,Yes
China,... [. ],…,,PB,CU,OB,76-100%,76-100%,Yes,EMIS tracks,No
Colombia,<0.1 [<0.1 - 0.1],"30,2",,PB,CS,MB,26-50%,51-75%,Yes,EMIS tracks,Yes
Comoros,<0.1 [<0.1 - <0.1],"20,37",,PB,…,…,51-75%,51-75%,Yes,...,…
Congo,1.4 [0.7 - 2.4],"32,58",,PB,CB,…,51-75%,51-75%,Yes,...,...
Costa Rica,<0.1 [<0.1 - <0.1],…,,PB,CU,OB,76-100%,76-100%,Yes,EMIS tracks,Yes
Côte d’Ivoire,0.8 [0.6 - 1.1],"26,63",,PB,CB,MB,51-75%,51-75%,Yes,No,...
Cuba,<0.1 [<0.1 - 0.1],"60,18",,PB,CB,…,76-100%,76-100%,Yes,...,...
Cyprus,... [. ],…,,SL,CU,MU,...,...,...,No,Yes
Czechia,... [. ],…,,PS,CU,MU,...,76-100%,Yes,M&E in place (partially),Yes
Democratic Republic of the Congo,0.3 [0.2 - 0.5],"20,41",,SL,CB,MB,76-100%,76-100%,Yes,Included in EMIS,Yes
Djibouti,0.4 [0.3 - 0.6],"11,3",,…,No,…,...,...,...,...,...
Dominica,... [. ],…,,PB,…,…,...,...,Yes,...,...
Dominican Republic,0.3 [0.2 - 0.4],"0,45",,PB,CB,…,0-25%,26-50%,Yes,...,...
